SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Spread
189,USD Coin,USDC,2019-04-15,1.00967730704,0.995659439516,1.00802489491,0.998979986612,44283943.0971244,259120334.999579,0.014017867524000027
190,USD Coin,USDC,2019-04-16,1.01375265491,0.997580122359,0.999090275078,1.01040845996,31481366.077846,261998390.065403,0.01617253255100004
191,USD Coin,USDC,2019-04-17,1.01448079767,1.00194947287,1.01173351076,1.00568435288,32737398.04933,257358655.419252,0.012531324800000077
192,USD Coin,USDC,2019-04-18,1.00762263611,1.00025802756,1.00547966592,1.00264501094,41597044.0580942,252677626.210523,0.007364608550000096
193,USD Coin,USDC,2019-04-19,1.00523864382,0.997392145483,1.00355826495,1.00262934405,34134430.3432104,252660268.794347,0.007846498337000019
194,USD Coin,USDC,2019-04-20,1.00564195354,0.996162052622,1.00294186254,1.00096854806,39216249.8892394,252224995.323595,0.009479900918000106
195,USD Coin,USDC,2019-04-21,1.00724718661,0.994410618553,1.00143034102,1.00208285589,46250000.3405327,251875249.534037,0.012836568056999953
196,USD Coin,USDC,2019-04-22,1.00820711546,0.996920828661,1.00207046391,1.00383837026,46697245.3289895,252701767.541116,0.011286286799000123
197,USD Coin,USDC,2019-04-23,1.00540141248,0.994680204601,1.00356153154,0.999439258877,55954909.0118645,251619166.620005,0.010721207878999883
198,USD Coin,USDC,2019-04-24,1.00454818476,0.991964919636,0.999439258877,0.998930568662,56853284.8694452,251875614.396768,0.012583265123999987
199,USD Coin,USDC,2019-04-25,1.01752718516,0.996013821451,0.998736665312,1.00714995638,82371631.3275097,257987023.316392,0.021513363709000033
200,USD Coin,USDC,2019-04-26,1.02426156232,1.00520947426,1.00520947426,1.01939378961,113370626.097886,266877830.819283,0.019052088060000028
201,USD Coin,USDC,2019-04-27,1.02103642553,1.01162408215,1.0190793647,1.01297893577,48849897.8671446,295631313.137331,0.009412343379999966
202,USD Coin,USDC,2019-04-28,1.01895589091,1.01230072645,1.01300755751,1.01559385249,44378358.8255885,296169540.105274,0.00665516446000014
